Name,District,Type,Description,SchoolYear
LASARA ISD,245901,F,NON-METROPOLITAN FAST GROWING,2007-08
LATEXO ISD,113905,H,RURAL,2007-08
LAZBUDDIE ISD,185904,H,RURAL,2007-08
LEAKEY ISD,193902,H,RURAL,2007-08
LEANDER ISD,246913,B,MAJOR SUBURBAN,2007-08
LEARY ISD,19914,H,RURAL,2007-08
LEFORS ISD,90902,H,RURAL,2007-08
LEGGETT ISD,187906,H,RURAL,2007-08
LEON ISD,145911,H,RURAL,2007-08
LEONARD ISD,74909,G,NON-METROPOLITAN STABLE,2007-08
LEVELLAND ISD,110902,G,NON-METROPOLITAN STABLE,2007-08
LEVERETTS CHAPEL ISD,201904,H,RURAL,2007-08
LEWISVILLE ISD,61902,B,MAJOR SUBURBAN,2007-08
LEXINGTON ISD,144902,G,NON-METROPOLITAN STABLE,2007-08
LIBERTY HILL ISD,246908,D,OTHER CENTRAL CITY SUBURBAN,2007-08
LIBERTY ISD,146906,G,NON-METROPOLITAN STABLE,2007-08
LIBERTY-EYLAU ISD,19908,G,NON-METROPOLITAN STABLE,2007-08
LIFE SCHOOL,57807,I,CHARTER SCHOOL DISTRICTS,2007-08
LIGHTHOUSE CHARTER SCHOOL,15825,I,CHARTER SCHOOL DISTRICTS,2007-08
LINDALE ISD,212903,D,OTHER CENTRAL CITY SUBURBAN,2007-08
LINDEN-KILDARE CISD,34905,G,NON-METROPOLITAN STABLE,2007-08
LINDSAY ISD,49907,H,RURAL,2007-08
LINGLEVILLE ISD,72909,H,RURAL,2007-08
LIPAN ISD,111902,H,RURAL,2007-08
LITTLE CYPRESS-MAURICEVILLE CISD,181908,E,INDEPENDENT TOWN,2007-08
LITTLE ELM ISD,61914,D,OTHER CENTRAL CITY SUBURBAN,2007-08
LITTLEFIELD ISD,140904,G,NON-METROPOLITAN STABLE,2007-08
LIVINGSTON ISD,187907,E,INDEPENDENT TOWN,2007-08
LLANO ISD,150901,G,NON-METROPOLITAN STABLE,2007-08
LOCKHART ISD,28902,D,OTHER CENTRAL CITY SUBURBAN,2007-08
LOCKNEY ISD,77902,H,RURAL,2007-08
LOHN ISD,160905,H,RURAL,2007-08
LOMETA ISD,141902,H,RURAL,2007-08
LONDON ISD,178906,H,RURAL,2007-08
LONE OAK ISD,116906,G,NON-METROPOLITAN STABLE,2007-08
LONGVIEW ISD,92903,C,OTHER CENTRAL CITY,2007-08
LOOP ISD,83902,H,RURAL,2007-08
LORAINE ISD,168902,H,RURAL,2007-08
LORENA ISD,161907,G,NON-METROPOLITAN STABLE,2007-08
LORENZO ISD,54902,H,RURAL,2007-08
LOS FRESNOS CISD,31906,D,OTHER CENTRAL CITY SUBURBAN,2007-08
LOUISE ISD,241906,H,RURAL,2007-08
LOVEJOY ISD,43919,D,OTHER CENTRAL CITY SUBURBAN,2007-08
LOVELADY ISD,113903,H,RURAL,2007-08
LUBBOCK ISD,152901,C,OTHER CENTRAL CITY,2007-08
LUBBOCK-COOPER ISD,152906,D,OTHER CENTRAL CITY SUBURBAN,2007-08
LUEDERS-AVOCA ISD,127905,H,RURAL,2007-08
LUFKIN ISD,3903,E,INDEPENDENT TOWN,2007-08
LULING ISD,28903,E,INDEPENDENT TOWN,2007-08
LUMBERTON ISD,100907,D,OTHER CENTRAL CITY SUBURBAN,2007-08
LYFORD CISD,245902,G,NON-METROPOLITAN STABLE,2007-08
LYNACRE ACADEMY CHARTER SCHOOL,57818,I,CHARTER SCHOOL DISTRICTS,2007-08
LYTLE ISD,7904,G,NON-METROPOLITAN STABLE,2007-08
MABANK ISD,129905,G,NON-METROPOLITAN STABLE,2007-08
MADISONVILLE CISD,154901,G,NON-METROPOLITAN STABLE,2007-08
MAGNOLIA ISD,170906,D,OTHER CENTRAL CITY SUBURBAN,2007-08
MAINLAND PREPARATORY ACADEMY,84801,I,CHARTER SCHOOL DISTRICTS,2007-08
MALAKOFF ISD,107906,G,NON-METROPOLITAN STABLE,2007-08
MALONE ISD,109908,H,RURAL,2007-08
MALTA ISD,19910,H,RURAL,2007-08
MANOR ISD,227907,B,MAJOR SUBURBAN,2007-08
MANSFIELD ISD,220908,B,MAJOR SUBURBAN,2007-08
MARATHON ISD,22902,H,RURAL,2007-08
MARBLE FALLS ISD,27904,E,INDEPENDENT TOWN,2007-08
MARFA ISD,189901,H,RURAL,2007-08
MARIETTA ISD,34908,H,RURAL,2007-08
MARION ISD,94904,D,OTHER CENTRAL CITY SUBURBAN,2007-08
MARLIN ISD,73903,G,NON-METROPOLITAN STABLE,2007-08
MARSHALL ISD,102902,E,INDEPENDENT TOWN,2007-08
MART ISD,161908,H,RURAL,2007-08
MARTINS MILL ISD,234905,H,RURAL,2007-08
MARTINSVILLE ISD,174909,H,RURAL,2007-08
MASON ISD,157901,H,RURAL,2007-08
MATAGORDA ISD,158904,H,RURAL,2007-08
MATHIS ISD,205904,G,NON-METROPOLITAN STABLE,2007-08
MAUD ISD,19903,H,RURAL,2007-08
MAY ISD,25905,H,RURAL,2007-08
MAYPEARL ISD,70915,D,OTHER CENTRAL CITY SUBURBAN,2007-08
MCALLEN ISD,108906,C,OTHER CENTRAL CITY,2007-08
MCCAMEY ISD,231901,H,RURAL,2007-08
MCDADE ISD,11905,H,RURAL,2007-08
MCGREGOR ISD,161909,G,NON-METROPOLITAN STABLE,2007-08
MCKINNEY ISD,43907,F,NON-METROPOLITAN FAST GROWING,2007-08
MCLEAN ISD,90903,H,RURAL,2007-08
MCLEOD ISD,34906,H,RURAL,2007-08
MCMULLEN COUNTY ISD,162904,H,RURAL,2007-08
MEADOW ISD,223902,H,RURAL,2007-08
MEDICAL CENTER CHARTER SCHOOL,101801,I,CHARTER SCHOOL DISTRICTS,2007-08
MEDINA ISD,10901,H,RURAL,2007-08
MEDINA VALLEY ISD,163908,B,MAJOR SUBURBAN,2007-08
MELISSA ISD,43908,F,NON-METROPOLITAN FAST GROWING,2007-08
MEMPHIS ISD,96904,H,RURAL,2007-08
MENARD ISD,164901,H,RURAL,2007-08
MERCEDES ISD,108907,D,OTHER CENTRAL CITY SUBURBAN,2007-08
MERIDIAN ISD,18902,H,RURAL,2007-08
MERKEL ISD,221904,D,OTHER CENTRAL CITY SUBURBAN,2007-08
MESQUITE ISD,57914,B,MAJOR SUBURBAN,2007-08
METRO ACADEMY OF MATH AND SCIENCE,220808,I,CHARTER SCHOOL DISTRICTS,2007-08
MEXIA ISD,147903,G,NON-METROPOLITAN STABLE,2007-08
MEYERPARK ELEMENTARY,101855,I,CHARTER SCHOOL DISTRICTS,2007-08
MEYERSVILLE ISD,62906,H,RURAL,2007-08
MIAMI ISD,197902,H,RURAL,2007-08
MID-VALLEY ACADEMY,108804,I,CHARTER SCHOOL DISTRICTS,2007-08
MIDLAND ACADEMY CHARTER SCHOOL,165802,I,CHARTER SCHOOL DISTRICTS,2007-08
MIDLAND ISD,165901,C,OTHER CENTRAL CITY,2007-08
MIDLOTHIAN ISD,70908,C,OTHER CENTRAL CITY,2007-08
MIDWAY ISD,39905,H,RURAL,2007-08
MIDWAY ISD,161903,D,OTHER CENTRAL CITY SUBURBAN,2007-08
MILANO ISD,166903,H,RURAL,2007-08
MILDRED ISD,175910,E,INDEPENDENT TOWN,2007-08
MILES ISD,200902,H,RURAL,2007-08
MILFORD ISD,70909,H,RURAL,2007-08
MILLER GROVE ISD,112907,H,RURAL,2007-08
MILLSAP ISD,184904,G,NON-METROPOLITAN STABLE,2007-08
MINEOLA ISD,250903,E,INDEPENDENT TOWN,2007-08
MINERAL WELLS ISD,182903,E,INDEPENDENT TOWN,2007-08
MISSION CISD,108908,D,OTHER CENTRAL CITY SUBURBAN,2007-08
MONAHANS-WICKETT-PYOTE ISD,238902,D,OTHER CENTRAL CITY SUBURBAN,2007-08
MONTAGUE ISD,169908,H,RURAL,2007-08
MONTE ALTO ISD,108915,F,NON-METROPOLITAN FAST GROWING,2007-08
MONTGOMERY ISD,170903,D,OTHER CENTRAL CITY SUBURBAN,2007-08
MOODY ISD,161910,G,NON-METROPOLITAN STABLE,2007-08
MORAN ISD,209902,H,RURAL,2007-08
MORGAN ISD,18903,H,RURAL,2007-08
MORGAN MILL ISD,72910,H,RURAL,2007-08
MORTON ISD,40901,H,RURAL,2007-08
MOTLEY COUNTY ISD,173901,H,RURAL,2007-08
MOULTON ISD,143902,H,RURAL,2007-08
MOUNT CALM ISD,109910,H,RURAL,2007-08
MOUNT ENTERPRISE ISD,201907,H,RURAL,2007-08
MOUNT PLEASANT ISD,225902,E,INDEPENDENT TOWN,2007-08
MOUNT VERNON ISD,80901,G,NON-METROPOLITAN STABLE,2007-08
MUENSTER ISD,49902,H,RURAL,2007-08
MULESHOE ISD,9901,G,NON-METROPOLITAN STABLE,2007-08
MULLIN ISD,167902,H,RURAL,2007-08
MUMFORD ISD,198906,H,RURAL,2007-08
MUNDAY CISD,138903,H,RURAL,2007-08
MURCHISON ISD,107908,H,RURAL,2007-08
NACOGDOCHES ISD,174904,E,INDEPENDENT TOWN,2007-08
NATALIA ISD,163903,G,NON-METROPOLITAN STABLE,2007-08
NAVARRO ISD,94903,D,OTHER CENTRAL CITY SUBURBAN,2007-08
NAVASOTA ISD,93904,G,NON-METROPOLITAN STABLE,2007-08
NAZARETH ISD,35903,H,RURAL,2007-08
NECHES ISD,1906,H,RURAL,2007-08
NEDERLAND ISD,123905,D,OTHER CENTRAL CITY SUBURBAN,2007-08
NEEDVILLE ISD,79906,D,OTHER CENTRAL CITY SUBURBAN,2007-08
NEW BOSTON ISD,19905,G,NON-METROPOLITAN STABLE,2007-08
NEW BRAUNFELS ISD,46901,D,OTHER CENTRAL CITY SUBURBAN,2007-08
NEW CANEY ISD,170908,D,OTHER CENTRAL CITY SUBURBAN,2007-08
NEW DEAL ISD,152902,H,RURAL,2007-08
NEW DIANA ISD,230906,D,OTHER CENTRAL CITY SUBURBAN,2007-08
NEW FRONTIERS CHARTER SCHOOL,15805,I,CHARTER SCHOOL DISTRICTS,2007-08
NEW HOME ISD,153905,H,RURAL,2007-08
NEW SUMMERFIELD ISD,37908,H,RURAL,2007-08
NEW WAVERLY ISD,236901,G,NON-METROPOLITAN STABLE,2007-08
NEWCASTLE ISD,252902,H,RURAL,2007-08
NEWTON ISD,176902,G,NON-METROPOLITAN STABLE,2007-08
NIXON-SMILEY CISD,89903,G,NON-METROPOLITAN STABLE,2007-08
NOCONA ISD,169902,G,NON-METROPOLITAN STABLE,2007-08
NORDHEIM ISD,62902,H,RURAL,2007-08
NORMANGEE ISD,145906,H,RURAL,2007-08
NORTH EAST ISD,15910,A,MAJOR URBAN,2007-08
NORTH FOREST ISD,101909,B,MAJOR SUBURBAN,2007-08
NORTH HILLS SCHOOL,57803,I,CHARTER SCHOOL DISTRICTS,2007-08
NORTH HOPKINS ISD,112906,F,NON-METROPOLITAN FAST GROWING,2007-08
NORTH HOUSTON H S FOR BUSINESS,101834,I,CHARTER SCHOOL DISTRICTS,2007-08
NORTH LAMAR ISD,139911,E,INDEPENDENT TOWN,2007-08
NORTH TEXAS ELEMENTARY SCHOOL OF T,220814,I,CHARTER SCHOOL DISTRICTS,2007-08
NORTH ZULCH ISD,154903,H,RURAL,2007-08
NORTHSIDE ISD,15915,A,MAJOR URBAN,2007-08
NORTHSIDE ISD,244905,H,RURAL,2007-08
NORTHWEST ISD,61911,D,OTHER CENTRAL CITY SUBURBAN,2007-08
NORTHWEST PREPARATORY,101848,I,CHARTER SCHOOL DISTRICTS,2007-08
NOVA ACADEMY,57809,I,CHARTER SCHOOL DISTRICTS,2007-08
NOVA ACADEMY (SOUTHEAST),57827,I,CHARTER SCHOOL DISTRICTS,2007-08
NOVICE ISD,42906,H,RURAL,2007-08
NUECES CANYON CISD,69902,H,RURAL,2007-08
NURSERY ISD,235904,H,RURAL,2007-08
NYOS CHARTER SCHOOL,227804,I,CHARTER SCHOOL DISTRICTS,2007-08
O'DONNELL ISD,153903,H,RURAL,2007-08
OAKWOOD ISD,145907,H,RURAL,2007-08
ODEM-EDROY ISD,205905,G,NON-METROPOLITAN STABLE,2007-08
ODYSSEY ACADEMY INC,84802,I,CHARTER SCHOOL DISTRICTS,2007-08
OGLESBY ISD,50904,H,RURAL,2007-08
OLFEN ISD,200906,H,RURAL,2007-08
OLNEY ISD,252903,G,NON-METROPOLITAN STABLE,2007-08
OLTON ISD,140905,H,RURAL,2007-08
ONALASKA ISD,187910,F,NON-METROPOLITAN FAST GROWING,2007-08
ONE STOP MULTISERVICE CHARTER SCHO,108801,I,CHARTER SCHOOL DISTRICTS,2007-08
ORANGE GROVE ISD,125903,G,NON-METROPOLITAN STABLE,2007-08
ORANGEFIELD ISD,181905,D,OTHER CENTRAL CITY SUBURBAN,2007-08
ORE CITY ISD,230903,G,NON-METROPOLITAN STABLE,2007-08
ORENDA CHARTER SCHOOL,14804,I,CHARTER SCHOOL DISTRICTS,2007-08
OUTREACH WORD ACADEMY,235801,I,CHARTER SCHOOL DISTRICTS,2007-08
OVERTON ISD,201908,H,RURAL,2007-08
PADUCAH ISD,51901,H,RURAL,2007-08
PAINT CREEK ISD,104907,H,RURAL,2007-08
PAINT ROCK ISD,48903,H,RURAL,2007-08
PALACIOS ISD,158905,G,NON-METROPOLITAN STABLE,2007-08
PALESTINE ISD,1907,E,INDEPENDENT TOWN,2007-08
PALMER ISD,70910,D,OTHER CENTRAL CITY SUBURBAN,2007-08
PALO PINTO ISD,182906,H,RURAL,2007-08
PAMPA ISD,90904,G,NON-METROPOLITAN STABLE,2007-08
PANHANDLE ISD,33902,H,RURAL,2007-08
PANOLA CHARTER SCHOOL,183801,I,CHARTER SCHOOL DISTRICTS,2007-08
PANTHER CREEK CISD,42905,H,RURAL,2007-08
PARADIGM ACCELERATED CHARTER SCHOO,72801,I,CHARTER SCHOOL DISTRICTS,2007-08
PARADISE ISD,249906,G,NON-METROPOLITAN STABLE,2007-08
PARIS ISD,139909,E,INDEPENDENT TOWN,2007-08
PASADENA ISD,101917,B,MAJOR SUBURBAN,2007-08
PASO DEL NORTE,71803,I,CHARTER SCHOOL DISTRICTS,2007-08
PATTON SPRINGS ISD,63906,H,RURAL,2007-08
PAWNEE ISD,13902,H,RURAL,2007-08
PEAK PREPARATORY SCHOOL,57838,I,CHARTER SCHOOL DISTRICTS,2007-08
PEARLAND ISD,20908,B,MAJOR SUBURBAN,2007-08
PEARSALL ISD,82903,G,NON-METROPOLITAN STABLE,2007-08
PEASTER ISD,184908,G,NON-METROPOLITAN STABLE,2007-08
PECOS-BARSTOW-TOYAH ISD,195901,G,NON-METROPOLITAN STABLE,2007-08
PEGASUS SCHOOL OF LIBERAL ARTS AND,57802,I,CHARTER SCHOOL DISTRICTS,2007-08
PENELOPE ISD,109914,H,RURAL,2007-08
PERRIN-WHITT CISD,119903,H,RURAL,2007-08
PERRYTON ISD,179901,G,NON-METROPOLITAN STABLE,2007-08
PETERSBURG ISD,95904,H,RURAL,2007-08
PETROLIA ISD,39903,H,RURAL,2007-08
PETTUS ISD,13903,H,RURAL,2007-08
PEWITT CISD,172905,G,NON-METROPOLITAN STABLE,2007-08
PFLUGERVILLE ISD,227904,B,MAJOR SUBURBAN,2007-08
PHARR-SAN JUAN-ALAMO ISD,108909,C,OTHER CENTRAL CITY,2007-08
PHOENIX CHARTER SCHOOL,116801,I,CHARTER SCHOOL DISTRICTS,2007-08
PILOT POINT ISD,61903,G,NON-METROPOLITAN STABLE,2007-08
PINE TREE ISD,92904,D,OTHER CENTRAL CITY SUBURBAN,2007-08
PINEYWOODS COMMUNITY ACADEMY,3801,I,CHARTER SCHOOL DISTRICTS,2007-08
PITTSBURG ISD,32902,G,NON-METROPOLITAN STABLE,2007-08
PLAINS ISD,251902,H,RURAL,2007-08
PLAINVIEW ISD,95905,E,INDEPENDENT TOWN,2007-08
PLANO ISD,43910,B,MAJOR SUBURBAN,2007-08
PLEASANT GROVE ISD,19912,G,NON-METROPOLITAN STABLE,2007-08
PLEASANTON ISD,7905,E,INDEPENDENT TOWN,2007-08
PLEMONS-STINNETT-PHILLIPS CISD,117904,H,RURAL,2007-08
POINT ISABEL ISD,31909,D,OTHER CENTRAL CITY SUBURBAN,2007-08
PONDER ISD,61906,F,NON-METROPOLITAN FAST GROWING,2007-08
POOLVILLE ISD,184901,H,RURAL,2007-08
POR VIDA ACADEMY,15801,I,CHARTER SCHOOL DISTRICTS,2007-08
PORT ARANSAS ISD,178908,H,RURAL,2007-08
PORT ARTHUR ISD,123907,D,OTHER CENTRAL CITY SUBURBAN,2007-08
PORT NECHES-GROVES ISD,123908,D,OTHER CENTRAL CITY SUBURBAN,2007-08
POSITIVE SOLUTIONS CHARTER SCHOOL,15814,I,CHARTER SCHOOL DISTRICTS,2007-08
POST ISD,85902,G,NON-METROPOLITAN STABLE,2007-08
POTEET ISD,7906,G,NON-METROPOLITAN STABLE,2007-08
POTH ISD,247904,G,NON-METROPOLITAN STABLE,2007-08
POTTSBORO ISD,91913,D,OTHER CENTRAL CITY SUBURBAN,2007-08
PRAIRIE LEA ISD,28906,H,RURAL,2007-08
PRAIRIE VALLEY ISD,169909,H,RURAL,2007-08
PRAIRILAND ISD,139912,G,NON-METROPOLITAN STABLE,2007-08
PREMONT ISD,125905,H,RURAL,2007-08
PRESIDIO ISD,189902,G,NON-METROPOLITAN STABLE,2007-08
PRIDDY ISD,167904,H,RURAL,2007-08
PRINCETON ISD,43911,G,NON-METROPOLITAN STABLE,2007-08
PRINGLE-MORSE CISD,98903,H,RURAL,2007-08
PROGRESO ISD,108910,G,NON-METROPOLITAN STABLE,2007-08
PROSPER ISD,43912,D,OTHER CENTRAL CITY SUBURBAN,2007-08
QUANAH ISD,99903,H,RURAL,2007-08
QUEEN CITY ISD,34907,G,NON-METROPOLITAN STABLE,2007-08
QUINLAN ISD,116908,G,NON-METROPOLITAN STABLE,2007-08
QUITMAN ISD,250904,G,NON-METROPOLITAN STABLE,2007-08
RADIANCE ACADEMY OF LEARNING,15815,I,CHARTER SCHOOL DISTRICTS,2007-08
RAINS ISD,190903,G,NON-METROPOLITAN STABLE,2007-08
RALLS ISD,54903,H,RURAL,2007-08
RAMIREZ CSD,66005,H,RURAL,2007-08
RANCH ACADEMY,234801,I,CHARTER SCHOOL DISTRICTS,2007-08
RANDOLPH FIELD ISD,15906,G,NON-METROPOLITAN STABLE,2007-08
RANGER ISD,67907,H,RURAL,2007-08
RANKIN ISD,231902,H,RURAL,2007-08
RAPOPORT ACADEMY PREP SCH,161805,I,CHARTER SCHOOL DISTRICTS,2007-08
RAUL YZAGUIRRE SCHOOL FOR SUCCESS,101806,I,CHARTER SCHOOL DISTRICTS,2007-08
RAVEN SCHOOL,236801,I,CHARTER SCHOOL DISTRICTS,2007-08
RAYMONDVILLE ISD,245903,D,OTHER CENTRAL CITY SUBURBAN,2007-08
REAGAN COUNTY ISD,192901,G,NON-METROPOLITAN STABLE,2007-08
RED LICK ISD,19911,H,RURAL,2007-08
RED OAK ISD,70911,C,OTHER CENTRAL CITY,2007-08
REDWATER ISD,19906,G,NON-METROPOLITAN STABLE,2007-08
REFUGIO ISD,196903,H,RURAL,2007-08
RICARDO ISD,137902,H,RURAL,2007-08
RICE CISD,45903,G,NON-METROPOLITAN STABLE,2007-08
RICE ISD,175911,D,OTHER CENTRAL CITY SUBURBAN,2007-08
RICHARD MILBURN ACADEMY (AMARILLO),188801,I,CHARTER SCHOOL DISTRICTS,2007-08
RICHARD MILBURN ACADEMY (BEAUMONT),123804,I,CHARTER SCHOOL DISTRICTS,2007-08
RICHARD MILBURN ACADEMY (ECTOR COU,68801,I,CHARTER SCHOOL DISTRICTS,2007-08
RICHARD MILBURN ACADEMY (FORT WORT,220812,I,CHARTER SCHOOL DISTRICTS,2007-08
RICHARD MILBURN ACADEMY (MIDLAND),165801,I,CHARTER SCHOOL DISTRICTS,2007-08
RICHARD MILBURN ACADEMY (SUBURBAN,101854,I,CHARTER SCHOOL DISTRICTS,2007-08
RICHARD MILBURN ALTER HIGH SCHOOL,14801,I,CHARTER SCHOOL DISTRICTS,2007-08
RICHARD MILBURN ALTER HIGH SCHOOL,152801,I,CHARTER SCHOOL DISTRICTS,2007-08
RICHARD MILBURN ALTER HIGH SCHOOL,178804,I,CHARTER SCHOOL DISTRICTS,2007-08
RICHARDS ISD,93905,H,RURAL,2007-08
RICHARDSON ISD,57916,B,MAJOR SUBURBAN,2007-08
RICHLAND COLLEGIATE HS OF MATH SCI,57840,I,CHARTER SCHOOL DISTRICTS,2007-08
RICHLAND SPRINGS ISD,206902,H,RURAL,2007-08
RIESEL ISD,161912,H,RURAL,2007-08
RIO GRANDE CITY CISD,214901,D,OTHER CENTRAL CITY SUBURBAN,2007-08
RIO HONDO ISD,31911,G,NON-METROPOLITAN STABLE,2007-08
RIO VISTA ISD,126907,D,OTHER CENTRAL CITY SUBURBAN,2007-08
RIPLEY HOUSE CHARTER SCHOOL,101853,I,CHARTER SCHOOL DISTRICTS,2007-08
RISE ACADEMY,152802,I,CHARTER SCHOOL DISTRICTS,2007-08
RISING STAR ISD,67908,H,RURAL,2007-08
RIVER ROAD ISD,188902,D,OTHER CENTRAL CITY SUBURBAN,2007-08
RIVERCREST ISD,194903,G,NON-METROPOLITAN STABLE,2007-08
RIVIERA ISD,137903,H,RURAL,2007-08
ROBERT LEE ISD,41902,H,RURAL,2007-08
ROBINSON ISD,161922,D,OTHER CENTRAL CITY SUBURBAN,2007-08
ROBSTOWN ISD,178909,G,NON-METROPOLITAN STABLE,2007-08
ROBY CISD,76903,H,RURAL,2007-08
ROCHELLE ISD,160904,H,RURAL,2007-08
ROCKDALE ISD,166904,E,INDEPENDENT TOWN,2007-08
ROCKSPRINGS ISD,69901,H,RURAL,2007-08
ROCKWALL ISD,199901,E,INDEPENDENT TOWN,2007-08
ROGERS ISD,14907,G,NON-METROPOLITAN STABLE,2007-08
ROMA ISD,214903,E,INDEPENDENT TOWN,2007-08
ROOSEVELT ISD,152908,D,OTHER CENTRAL CITY SUBURBAN,2007-08
ROPES ISD,110905,H,RURAL,2007-08
ROSCOE ISD,177901,H,RURAL,2007-08
ROSEBUD-LOTT ISD,73905,G,NON-METROPOLITAN STABLE,2007-08
ROTAN ISD,76904,H,RURAL,2007-08
ROUND ROCK ISD,246909,B,MAJOR SUBURBAN,2007-08
ROUND TOP-CARMINE ISD,75908,H,RURAL,2007-08
ROXTON ISD,139908,H,RURAL,2007-08
ROYAL ISD,237905,D,OTHER CENTRAL CITY SUBURBAN,2007-08
ROYSE CITY ISD,199902,F,NON-METROPOLITAN FAST GROWING,2007-08
RULE ISD,104903,H,RURAL,2007-08
RUNGE ISD,128903,H,RURAL,2007-08
RUSK ISD,37907,G,NON-METROPOLITAN STABLE,2007-08
S AND S CISD,91914,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SABINAL ISD,232902,H,RURAL,2007-08
SABINE ISD,92906,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SABINE PASS ISD,123913,H,RURAL,2007-08
SAILL,227823,I,CHARTER SCHOOL DISTRICTS,2007-08
SAINT JO ISD,169911,H,RURAL,2007-08
SALADO ISD,14908,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SALTILLO ISD,112909,H,RURAL,2007-08
SAM RAYBURN ISD,74917,H,RURAL,2007-08
SAMNORWOOD ISD,44904,H,RURAL,2007-08
SAN ANGELO ISD,226903,C,OTHER CENTRAL CITY,2007-08
SAN ANTONIO CAN HIGH SCHOOL,15817,I,CHARTER SCHOOL DISTRICTS,2007-08
SAN ANTONIO ISD,15907,A,MAJOR URBAN,2007-08
SAN ANTONIO PREPARATORY ACADEMY,15824,I,CHARTER SCHOOL DISTRICTS,2007-08
SAN ANTONIO SCHOOL FOR INQUIRY & C,15820,I,CHARTER SCHOOL DISTRICTS,2007-08
SAN ANTONIO TECHNOLOGY ACADEMY,15823,I,CHARTER SCHOOL DISTRICTS,2007-08
SAN AUGUSTINE ISD,203901,G,NON-METROPOLITAN STABLE,2007-08
SAN BENITO CISD,31912,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SAN DIEGO ISD,66902,G,NON-METROPOLITAN STABLE,2007-08
SAN ELIZARIO ISD,71904,G,NON-METROPOLITAN STABLE,2007-08
SAN FELIPE-DEL RIO CISD,233901,E,INDEPENDENT TOWN,2007-08
SAN ISIDRO ISD,214902,H,RURAL,2007-08
SAN MARCOS CISD,105902,C,OTHER CENTRAL CITY,2007-08
SAN PERLITA ISD,245904,H,RURAL,2007-08
SAN SABA ISD,206901,H,RURAL,2007-08
SAN VICENTE ISD,22903,H,RURAL,2007-08
SANDS CISD,58909,H,RURAL,2007-08
SANFORD-FRITCH ISD,117903,G,NON-METROPOLITAN STABLE,2007-08
SANGER ISD,61908,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SANTA ANNA ISD,42903,H,RURAL,2007-08
SANTA FE ISD,84909,G,NON-METROPOLITAN STABLE,2007-08
SANTA GERTRUDIS ISD,137904,F,NON-METROPOLITAN FAST GROWING,2007-08
SANTA MARIA ISD,31913,H,RURAL,2007-08
SANTA ROSA ISD,31914,G,NON-METROPOLITAN STABLE,2007-08
SANTO ISD,182904,H,RURAL,2007-08
SAVOY ISD,74911,H,RURAL,2007-08
SCHERTZ-CIBOLO-U CITY ISD,94902,C,OTHER CENTRAL CITY,2007-08
SCHLEICHER ISD,207901,H,RURAL,2007-08
SCHOOL OF EXCELLENCE IN EDUCATION,15806,I,CHARTER SCHOOL DISTRICTS,2007-08
SCHOOL OF LIBERAL ARTS AND SCIENCE,57821,I,CHARTER SCHOOL DISTRICTS,2007-08
SCHOOL OF SCIENCE AND TECHNOLOGY,15827,I,CHARTER SCHOOL DISTRICTS,2007-08
SCHULENBURG ISD,75903,G,NON-METROPOLITAN STABLE,2007-08
SCURRY-ROSSER ISD,129910,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SEAGRAVES ISD,83901,H,RURAL,2007-08
SEALY ISD,8902,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SEASHORE LEARNING CTR CHARTER,178802,I,CHARTER SCHOOL DISTRICTS,2007-08
SEASHORE MIDDLE ACAD,178808,I,CHARTER SCHOOL DISTRICTS,2007-08
SEGUIN ISD,94901,C,OTHER CENTRAL CITY,2007-08
SEMINOLE ISD,83903,G,NON-METROPOLITAN STABLE,2007-08
SER-NINOS CHARTER SCHOOL,101802,I,CHARTER SCHOOL DISTRICTS,2007-08
SEYMOUR ISD,12901,H,RURAL,2007-08
SHALLOWATER ISD,152909,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SHAMROCK ISD,242902,H,RURAL,2007-08
SHARYLAND ISD,108911,D,OTHER CENTRAL CITY SUBURBAN,2007-08
SHEKINAH RADIANCE ACADEMY,15819,I,CHARTER SCHOOL DISTRICTS,2007-08
SHELBYVILLE ISD,210903,G,NON-METROPOLITAN STABLE,2007-08
SHELDON ISD,101924,B,MAJOR SUBURBAN,2007-08
SHEPHERD ISD,204904,E,INDEPENDENT TOWN,2007-08
SHERMAN ISD,91906,C,OTHER CENTRAL CITY,2007-08
SHINER ISD,143903,H,RURAL,2007-08
SIDNEY ISD,47905,H,RURAL,2007-08
SIERRA BLANCA ISD,115902,H,RURAL,2007-08
SILSBEE ISD,100904,E,INDEPENDENT TOWN,2007-08
SILVERTON ISD,23902,H,RURAL,2007-08
SIMMS ISD,19909,H,RURAL,2007-08
SINTON ISD,205906,G,NON-METROPOLITAN STABLE,2007-08
SIVELLS BEND ISD,49909,H,RURAL,2007-08
SKIDMORE-TYNAN ISD,13905,G,NON-METROPOLITAN STABLE,2007-08
SLATON ISD,152903,G,NON-METROPOLITAN STABLE,2007-08
SLIDELL ISD,249908,H,RURAL,2007-08
SLOCUM ISD,1909,H,RURAL,2007-08
